timestamp,model,provider,context,iteration,program_id,input_tokens,output_tokens,prompt_tokens,completion_tokens,total_tokens,accepted_prediction_tokens,reasoning_tokens,rejected_prediction_tokens,cached_tokens,cache_creation_input_tokens,cache_read_input_tokens
1766896196.5650413,gpt-5-mini,openai,evolution,29,438c68f8-6f76-4f4e-a081-e093c3498256,24643,3704,24643,3704,28347,0,960,0,,,
1766896199.172096,gpt-5-mini,openai,evolution,28,391badbc-70ba-4267-908a-ff87e24e1ab3,24020,4158,24020,4158,28178,0,704,0,,,
1766896244.4187655,gpt-5-mini,openai,evolution,30,cea641a6-4c89-4fee-ad33-e08d00509686,26661,3224,26661,3224,29885,0,448,0,,,
1766896330.9055774,gpt-5-mini,openai,evolution,31,72f2796a-7e79-4adf-a3ad-0dc381e11e9f,25497,2188,25497,2188,27685,0,320,0,,,
1766896425.0915253,gpt-5-mini,openai,evolution,32,5081237b-ac2c-47dc-862d-fcc6183df58c,28336,3842,28336,3842,32178,0,704,0,,,
1766896450.2885349,gpt-5-mini,openai,evolution,33,f4fe09de-ef98-44a5-9ee0-b5ae257033aa,27394,2717,27394,2717,30111,0,704,0,13184,,
1766896609.9985387,claude-sonnet-4-5,anthropic,evolution,34,695a2b88-8b5f-4ff5-be56-ce0a0962dfbb,2,4346,,,4348,,,,,29624,0
1766896612.1833777,gpt-5-mini,openai,evolution,35,8027f991-1ca7-4200-a479-9a1502c12944,26345,3747,26345,3747,30092,0,1024,0,13184,,
1766896616.6856117,gpt-5-mini,openai,evolution,36,1886bac6-294e-4672-9470-b7da184655f2,28213,3882,28213,3882,32095,0,704,0,,,
1766896634.8709314,gpt-5-mini,openai,evolution,37,2a72f609-97e1-4025-9b92-da422bbf3e2d,24433,3625,24433,3625,28058,0,704,0,10240,,
1766896713.1240556,gpt-5-mini,openai,evolution,38,8027f991-1ca7-4200-a479-9a1502c12944,26207,3976,26207,3976,30183,0,1088,0,16256,,
1766896742.0639355,gpt-5-mini,openai,evolution,39,c636367f-5acc-42ca-896d-c44b4e0e6734,29392,3858,29392,3858,33250,0,448,0,,,
1766896841.8490458,claude-sonnet-4-5,anthropic,evolution,40,8377d10a-f308-4f5b-80cf-67df79e98604,2,3727,,,3729,,,,,35821,0
1766896898.9578054,gpt-5-mini,openai,evolution,41,7a6cbabf-c1c1-44f4-a24c-7d57f322a505,29778,3099,29778,3099,32877,0,384,0,,,
1766896913.3362107,gpt-5-mini,openai,evolution,42,1b5a7efa-54ed-4d49-8b0c-c947a8319767,31332,3548,31332,3548,34880,0,576,0,10240,,
1766896983.8817623,gpt-5-mini,openai,evolution,43,695a2b88-8b5f-4ff5-be56-ce0a0962dfbb,28110,3734,28110,3734,31844,0,512,0,,,
1766897015.1093519,claude-sonnet-4-5,anthropic,evolution,44,2a72f609-97e1-4025-9b92-da422bbf3e2d,2,2596,,,2598,,,,,32271,0
1766897044.8996112,gpt-5-mini,openai,evolution,45,695a2b88-8b5f-4ff5-be56-ce0a0962dfbb,27043,3706,27043,3706,30749,0,768,0,16256,,
1766897077.1934915,gpt-5-mini,openai,evolution,46,5081237b-ac2c-47dc-862d-fcc6183df58c,30721,4322,30721,4322,35043,0,960,0,,,
1766897090.5105462,gpt-5-mini,openai,evolution,47,f4ca2ef0-76dc-4739-a548-abf0a9dd112a,27193,3492,27193,3492,30685,0,896,0,,,
1766897221.4561493,gpt-5-mini,openai,evolution,48,e13590b6-7d43-45d4-afd2-54b2a8efa607,30456,3117,30456,3117,33573,0,640,0,,,
1766897260.2290783,claude-sonnet-4-5,anthropic,evolution,49,b666475c-d4cd-47b3-a995-955476f14dbd,2,4082,,,4084,,,,,38652,0
1766897296.6580122,claude-sonnet-4-5,anthropic,evolution,50,d42c8265-8173-4115-89c1-d3ef4b4bdbb3,2,3782,,,3784,,,,,34071,0
1766897319.1263874,gpt-5-mini,openai,evolution,51,391badbc-70ba-4267-908a-ff87e24e1ab3,27172,3842,27172,3842,31014,0,576,0,10240,,
1766897338.9884794,gpt-5-mini,openai,evolution,52,6dfdc450-374a-470a-bd75-558d7248113e,30439,4526,30439,4526,34965,0,896,0,,,
1766897476.3697104,gpt-5-mini,openai,evolution,53,e5c1e2a8-08ea-4679-9b5e-b4f4fb19a3f0,29994,3946,29994,3946,33940,0,704,0,,,
1766897536.749155,gpt-5-mini,openai,evolution,54,7a6cbabf-c1c1-44f4-a24c-7d57f322a505,32527,3431,32527,3431,35958,0,512,0,10240,,
1766897572.0340214,gpt-5-mini,openai,evolution,55,4a6cdc9d-7673-419a-b0b0-c1eca72da8ad,32524,3499,32524,3499,36023,0,576,0,,,
1766897661.800958,claude-sonnet-4-5,anthropic,evolution,56,d59e4451-7b6e-41ac-94e0-1f13444d74cc,2,3720,,,3722,,,,,24337,0
1766897686.0833104,claude-sonnet-4-5,anthropic,evolution,57,695a2b88-8b5f-4ff5-be56-ce0a0962dfbb,2,4080,,,4082,,,,,35715,0
1766897712.1699176,gpt-5-mini,openai,evolution,59,a4326c6b-65c3-4876-9f99-899066aac2e5,25802,3678,25802,3678,29480,0,576,0,,,
1766897740.796272,claude-sonnet-4-5,anthropic,evolution,58,8377d10a-f308-4f5b-80cf-67df79e98604,2,3802,,,3804,,,,,37129,0
1766897742.5407708,gpt-5-mini,openai,evolution,61,8dbbef77-8d7a-405a-8b27-302d9f9aedb2,27033,3580,27033,3580,30613,0,448,0,,,
1766897743.3933406,claude-sonnet-4-5,anthropic,evolution,60,3c916f02-ef48-4de3-b7b8-ff13922480ef,2,3801,,,3803,,,,,24330,0
1766897800.9446173,gpt-5-mini,openai,evolution,62,a4326c6b-65c3-4876-9f99-899066aac2e5,28923,3677,28923,3677,32600,0,576,0,10112,,
1766897813.9519043,gpt-5-mini,openai,evolution,63,f4fe09de-ef98-44a5-9ee0-b5ae257033aa,27971,3535,27971,3535,31506,0,512,0,,,
1766897840.8078299,gpt-5-mini,openai,evolution,65,e13590b6-7d43-45d4-afd2-54b2a8efa607,29923,3789,29923,3789,33712,0,576,0,,,
1766897852.1254063,gpt-5-mini,openai,evolution,66,14135482-5c27-4ba4-9166-f7375291e837,30277,2916,30277,2916,33193,0,512,0,,,
1766897860.719477,claude-sonnet-4-5,anthropic,evolution,64,e4be004f-b256-4f12-aae3-73faa90d5295,2,4010,,,4012,,,,,31773,0
1766897907.7081425,gpt-5-mini,openai,evolution,70,695a2b88-8b5f-4ff5-be56-ce0a0962dfbb,32247,3601,32247,3601,35848,0,448,0,10240,,
1766897910.1167018,claude-sonnet-4-5,anthropic,evolution,68,9aaa327f-3115-4bc3-afc4-89b3d9b18b41,2,2714,,,2716,,,,,36392,0
1766897916.7404068,claude-sonnet-4-5,anthropic,evolution,67,3697466b-981e-4c5b-b95c-11770d74b6ce,2,4240,,,4242,,,,,37890,0
1766897930.2186918,claude-sonnet-4-5,anthropic,evolution,69,21e5db3d-eb64-49ce-8ba4-a986b601912d,2,4263,,,4265,,,,,34834,0
1766897982.6431305,claude-sonnet-4-5,anthropic,evolution,71,2fe66411-28b8-4090-bc72-1b32f8633583,2,4632,,,4634,,,,,36168,0
1766897994.3982148,gpt-5-mini,openai,evolution,73,0ce9ac95-2fa6-4b3c-9402-8ab215b7eaab,29929,3541,29929,3541,33470,0,576,0,10240,,
1766898015.4362922,claude-sonnet-4-5,anthropic,evolution,72,5081237b-ac2c-47dc-862d-fcc6183df58c,2,3659,,,3661,,,,,38000,0
1766898065.5755935,gpt-5-mini,openai,evolution,74,fb53fc81-0850-4185-920c-4f63ddb9043a,29698,3044,29698,3044,32742,0,512,0,,,
1766898095.6993217,gpt-5-mini,openai,evolution,75,6d6d3853-c683-4fd9-83cd-9f810992a69b,31661,4015,31661,4015,35676,0,704,0,,,
1766898106.0366967,gpt-5-mini,openai,evolution,76,e61244b5-0ae6-4c14-b9ae-99ade0853cc0,29611,4014,29611,4014,33625,0,832,0,,,
1766898125.8254144,gpt-5-mini,openai,evolution,77,4e7a514d-69cd-417c-86e3-76cdbc64fe4e,31265,5255,31265,5255,36520,0,960,0,,,
1766898232.699859,claude-sonnet-4-5,anthropic,evolution,78,965daa30-4c48-465d-aa8f-950418a72250,2,3885,,,3887,,,,,37082,0
1766898244.1961877,gpt-5-mini,openai,evolution,79,59723ed6-ffc9-4cfe-b416-49c7cbcf8be9,27754,3810,27754,3810,31564,0,384,0,,,
1766898257.4497526,gpt-5-mini,openai,evolution,80,4e7a514d-69cd-417c-86e3-76cdbc64fe4e,29596,3300,29596,3300,32896,0,576,0,10240,,
1766898295.1669517,gpt-5-mini,openai,evolution,81,d7c2be33-66ce-42fd-9554-56feb0c069f7,32801,3945,32801,3945,36746,0,512,0,,,
1766898333.148104,gpt-5-mini,openai,evolution,82,a469e877-27a5-47b3-90d6-8024f3f6a8fa,31226,3209,31226,3209,34435,0,512,0,,,
1766898366.9195309,gpt-5-mini,openai,evolution,83,4a6cdc9d-7673-419a-b0b0-c1eca72da8ad,30662,4163,30662,4163,34825,0,512,0,,,
1766898399.4357553,gpt-5-mini,openai,evolution,84,21e5db3d-eb64-49ce-8ba4-a986b601912d,31375,4406,31375,4406,35781,0,896,0,,,
1766898427.573119,gpt-5-mini,openai,evolution,85,322ba0df-325d-43d0-8483-7bf3d5c1b332,31581,3975,31581,3975,35556,0,512,0,,,
1766898447.4504757,claude-sonnet-4-5,anthropic,evolution,86,f4ca2ef0-76dc-4739-a548-abf0a9dd112a,2,3684,,,3686,,,,,34278,0
1766898498.2906864,gpt-5-mini,openai,evolution,87,21e5db3d-eb64-49ce-8ba4-a986b601912d,31136,3925,31136,3925,35061,0,576,0,,,
1766898526.3824122,claude-sonnet-4-5,anthropic,evolution,88,fafb775f-7160-4c35-bb30-3765886462d5,2,3902,,,3904,,,,,41742,0
1766898542.8307447,gpt-5-mini,openai,evolution,90,5081237b-ac2c-47dc-862d-fcc6183df58c,31259,3799,31259,3799,35058,0,448,0,10240,,
1766898544.6337538,gpt-5-mini,openai,evolution,91,8d5ecfbb-efe8-4a11-8f0c-c86dac013be8,31792,3583,31792,3583,35375,0,512,0,,,
1766898555.2502205,claude-sonnet-4-5,anthropic,evolution,89,3954985c-165a-48b3-80a5-88a6279c387d,2,4241,,,4243,,,,,38371,0
1766898595.8927162,gpt-5-mini,openai,evolution,92,881504b5-705a-403a-b742-ac2762aba798,30147,2853,30147,2853,33000,0,512,0,,,
1766898612.1801026,gpt-5-mini,openai,evolution,93,5dd55d2e-d3b7-4193-b22b-67781e0b727d,34687,4030,34687,4030,38717,0,512,0,,,
1766898634.7771912,gpt-5-mini,openai,evolution,94,5081237b-ac2c-47dc-862d-fcc6183df58c,29908,4266,29908,4266,34174,0,512,0,,,
1766898652.554626,gpt-5-mini,openai,evolution,95,4a6cdc9d-7673-419a-b0b0-c1eca72da8ad,30269,4055,30269,4055,34324,0,576,0,,,
1766898666.806226,gpt-5-mini,openai,evolution,96,3954985c-165a-48b3-80a5-88a6279c387d,32052,3573,32052,3573,35625,0,896,0,,,
1766898752.693557,gpt-5-mini,openai,evolution,97,a4326c6b-65c3-4876-9f99-899066aac2e5,30535,3935,30535,3935,34470,0,640,0,10112,,
1766898776.321186,gpt-5-mini,openai,evolution,98,8377d10a-f308-4f5b-80cf-67df79e98604,30562,3633,30562,3633,34195,0,576,0,,,
1766898786.3268535,gpt-5-mini,openai,evolution,99,9108f615-ef9c-4630-b07e-ef57b893147c,29065,3393,29065,3393,32458,0,448,0,,,
1766898795.9122903,gpt-5-mini,openai,evolution,100,322ba0df-325d-43d0-8483-7bf3d5c1b332,30590,3420,30590,3420,34010,0,512,0,,,
1766898835.301121,gpt-5-mini,openai,evolution,101,a4326c6b-65c3-4876-9f99-899066aac2e5,30645,3744,30645,3744,34389,0,512,0,,,
1766898854.5571103,gpt-5-mini,openai,evolution,102,0ec8aef7-35b1-4b7e-91ba-91615ecd3811,34147,4909,34147,4909,39056,0,576,0,,,
1766898877.2799013,gpt-5-mini,openai,evolution,103,59723ed6-ffc9-4cfe-b416-49c7cbcf8be9,29099,4125,29099,4125,33224,0,576,0,,,
1766898881.4481175,gpt-5-mini,openai,evolution,104,d59e4451-7b6e-41ac-94e0-1f13444d74cc,31250,4251,31250,4251,35501,0,768,0,,,
1766898889.142859,gpt-5-mini,openai,evolution,105,f4ca2ef0-76dc-4739-a548-abf0a9dd112a,30483,3156,30483,3156,33639,0,448,0,,,
1766898935.8688684,gpt-5-mini,openai,evolution,106,405b405b-b898-4672-9228-973271271c5e,29353,3890,29353,3890,33243,0,512,0,,,
1766898971.9909241,gpt-5-mini,openai,evolution,108,695a2b88-8b5f-4ff5-be56-ce0a0962dfbb,27909,3613,27909,3613,31522,0,448,0,,,
1766898991.3475475,claude-sonnet-4-5,anthropic,evolution,107,a4326c6b-65c3-4876-9f99-899066aac2e5,2,3980,,,3982,,,,,37531,0
1766899065.7076197,gpt-5-mini,openai,evolution,109,15016ee3-ef2d-4fbe-94a9-8168ea517ba8,30992,4309,30992,4309,35301,0,768,0,,,
1766899117.6020443,gpt-5-mini,openai,evolution,110,6dfdc450-374a-470a-bd75-558d7248113e,31370,4305,31370,4305,35675,0,512,0,,,
1766899142.8649843,gpt-5-mini,openai,evolution,111,14135482-5c27-4ba4-9166-f7375291e837,31003,3269,31003,3269,34272,0,512,0,,,
1766899166.2587264,gpt-5-mini,openai,evolution,112,be56d520-a0b7-4809-b535-22208265b284,30825,4465,30825,4465,35290,0,960,0,,,
1766899204.8513796,gpt-5-mini,openai,evolution,113,9108f615-ef9c-4630-b07e-ef57b893147c,34000,3730,34000,3730,37730,0,448,0,,,
1766899277.9449542,gpt-5-mini,openai,evolution,114,3954985c-165a-48b3-80a5-88a6279c387d,32387,4779,32387,4779,37166,0,576,0,,,
1766899295.7324917,claude-sonnet-4-5,anthropic,evolution,115,cae8f309-8b0d-4c27-ab43-a6f0735b0bbe,2,3843,,,3845,,,,,35264,0
1766899336.46975,claude-sonnet-4-5,anthropic,evolution,116,e4be004f-b256-4f12-aae3-73faa90d5295,2,5225,,,5227,,,,,38271,0
1766899387.239164,gpt-5-mini,openai,evolution,118,021214ea-b9ae-4ef3-940f-5bf9d58952c3,33192,4030,33192,4030,37222,0,704,0,,,
1766899405.0864866,claude-sonnet-4-5,anthropic,evolution,117,695a2b88-8b5f-4ff5-be56-ce0a0962dfbb,2,4746,,,4748,,,,,36944,0
1766899416.2065313,gpt-5-mini,openai,evolution,120,5081237b-ac2c-47dc-862d-fcc6183df58c,32831,4393,32831,4393,37224,0,640,0,,,
1766899417.4222932,gpt-5-mini,openai,evolution,121,881504b5-705a-403a-b742-ac2762aba798,30643,3523,30643,3523,34166,0,384,0,,,
1766899423.1133518,claude-sonnet-4-5,anthropic,evolution,119,3c916f02-ef48-4de3-b7b8-ff13922480ef,2,4351,,,4353,,,,,40656,0
1766899491.3930972,gpt-5-mini,openai,evolution,122,be56d520-a0b7-4809-b535-22208265b284,34529,4859,34529,4859,39388,0,640,0,,,
1766899512.4256563,gpt-5-mini,openai,evolution,123,685c6e0e-4f9b-4151-9e7d-39b5276dae3e,31667,3520,31667,3520,35187,0,1024,0,,,
1766899544.963097,gpt-5-mini,openai,evolution,124,1b878c93-1a17-4b0b-8c23-a063525f2f35,33428,4341,33428,4341,37769,0,832,0,,,
1766899665.676948,gpt-5-mini,openai,evolution,125,a4326c6b-65c3-4876-9f99-899066aac2e5,29282,3948,29282,3948,33230,0,448,0,,,
1766899703.612666,gpt-5-mini,openai,evolution,126,405b405b-b898-4672-9228-973271271c5e,35548,4526,35548,4526,40074,0,512,0,,,
1766899732.345776,gpt-5-mini,openai,evolution,127,d7c2be33-66ce-42fd-9554-56feb0c069f7,33543,3482,33543,3482,37025,0,576,0,14208,,
1766899796.2901108,gpt-5-mini,openai,evolution,128,5081237b-ac2c-47dc-862d-fcc6183df58c,35595,4530,35595,4530,40125,0,704,0,,,
1766899816.5267096,gpt-5-mini,openai,evolution,129,a4326c6b-65c3-4876-9f99-899066aac2e5,30009,2940,30009,2940,32949,0,640,0,16256,,
1766899847.1669593,gpt-5-mini,openai,evolution,130,6dfdc450-374a-470a-bd75-558d7248113e,34552,3639,34552,3639,38191,0,448,0,,,
1766899911.8127294,gpt-5-mini,openai,evolution,131,ae47e88c-2f09-4fa4-abe6-d1a8839f53cf,33691,4027,33691,4027,37718,0,576,0,,,
1766899951.4744089,gpt-5-mini,openai,evolution,132,405b405b-b898-4672-9228-973271271c5e,35667,4997,35667,4997,40664,0,448,0,,,
1766899999.228519,gpt-5-mini,openai,evolution,133,695a2b88-8b5f-4ff5-be56-ce0a0962dfbb,35771,4551,35771,4551,40322,0,640,0,,,
1766900086.4334497,claude-sonnet-4-5,anthropic,evolution,134,881504b5-705a-403a-b742-ac2762aba798,2,4426,,,4428,,,,,37949,0
1766900091.6380913,gpt-5-mini,openai,evolution,135,ae47e88c-2f09-4fa4-abe6-d1a8839f53cf,35747,4224,35747,4224,39971,0,640,0,17280,,
1766900139.0774221,gpt-5-mini,openai,evolution,136,244bd7a3-164b-4c51-86a4-bff2557c6d05,40071,6043,40071,6043,46114,0,576,0,,,
1766900168.5084283,gpt-5-mini,openai,evolution,137,0b512bcc-a7d5-4f37-bf9b-3ad1a8e140f2,35843,5742,35843,5742,41585,0,896,0,,,
1766900263.7440777,gpt-5-mini,openai,evolution,138,f4ca2ef0-76dc-4739-a548-abf0a9dd112a,37146,4564,37146,4564,41710,0,384,0,,,
1766900283.5834413,gpt-5-mini,openai,evolution,139,ae54c944-86cf-466a-9387-2055fa580e0e,6505,2765,6505,2765,9270,0,704,0,,,
1766900312.7248278,gpt-5-mini,openai,evolution,140,e5fb4ff2-6556-4276-bc7f-3370a75dfd8b,38853,3400,38853,3400,42253,0,640,0,,,
1766900381.7647922,gpt-5-mini,openai,evolution,141,83d2d4ec-4a61-4ebe-9cac-6e3b8eb7b5bb,10813,4613,10813,4613,15426,0,640,0,,,
1766900430.458581,gpt-5-mini,openai,evolution,142,d37d3952-968c-416e-95b9-640403f2f83e,40339,5735,40339,5735,46074,0,640,0,,,
1766900509.9592924,gpt-5-mini,openai,evolution,143,021214ea-b9ae-4ef3-940f-5bf9d58952c3,40063,4796,40063,4796,44859,0,1216,0,,,
1766900514.796207,gpt-5-mini,openai,evolution,144,21e5db3d-eb64-49ce-8ba4-a986b601912d,35475,4557,35475,4557,40032,0,512,0,,,
1766900544.1963952,gpt-5-mini,openai,evolution,145,5dd55d2e-d3b7-4193-b22b-67781e0b727d,37339,4476,37339,4476,41815,0,320,0,,,
1766900617.5811903,claude-sonnet-4-5,anthropic,evolution,146,db2aee34-d91d-4ab4-98cb-72cd6753641f,2,4995,,,4997,,,,,46288,0
1766900717.7493176,claude-sonnet-4-5,anthropic,evolution,147,695a2b88-8b5f-4ff5-be56-ce0a0962dfbb,2,4881,,,4883,,,,,49386,0
1766900726.4701042,claude-sonnet-4-5,anthropic,evolution,148,a4326c6b-65c3-4876-9f99-899066aac2e5,2,5546,,,5548,,,,,44127,0
1766900751.771009,gpt-5-mini,openai,evolution,149,6d6d3853-c683-4fd9-83cd-9f810992a69b,37531,4993,37531,4993,42524,0,320,0,,,
1766900799.6712546,gpt-5-mini,openai,evolution,150,659adc56-ac17-417b-a87e-6935d63c2e5f,41618,3424,41618,3424,45042,0,384,0,,,
1766900874.2523248,gpt-5-mini,openai,evolution,151,ae54c944-86cf-466a-9387-2055fa580e0e,6505,3924,6505,3924,10429,0,1024,0,6016,,
1766900894.151857,gpt-5-mini,openai,evolution,152,fafb775f-7160-4c35-bb30-3765886462d5,37426,4796,37426,4796,42222,0,384,0,,,
1766900913.2998047,gpt-5-mini,openai,evolution,153,d58f1772-71d5-4697-9ff3-e678cc948d95,41530,4810,41530,4810,46340,0,576,0,,,
1766900977.1434143,gpt-5-mini,openai,evolution,154,871f7d89-8248-41d0-9e51-8e02263f36c5,38524,6225,38524,6225,44749,0,1216,0,,,
1766901023.7339113,gpt-5-mini,openai,evolution,155,581189e5-f6de-4987-86ed-bb77d99658fe,38710,4523,38710,4523,43233,0,704,0,,,
1766901253.434413,claude-sonnet-4-5,anthropic,evolution,156,5dd55d2e-d3b7-4193-b22b-67781e0b727d,2,4257,,,4259,,,,,44965,0
1766901325.2527158,claude-sonnet-4-5,anthropic,evolution,157,d37d3952-968c-416e-95b9-640403f2f83e,2,4246,,,4248,,,,,47795,0
1766901390.7030056,claude-sonnet-4-5,anthropic,evolution,158,ae54c944-86cf-466a-9387-2055fa580e0e,2,4357,,,4359,,,,,15006,0
1766901400.4442763,gpt-5-mini,openai,evolution,159,244bd7a3-164b-4c51-86a4-bff2557c6d05,40445,4652,40445,4652,45097,0,448,0,,,
1766901545.2571864,gpt-5-mini,openai,evolution,160,871f7d89-8248-41d0-9e51-8e02263f36c5,38789,4558,38789,4558,43347,0,448,0,21504,,
1766901640.116257,gpt-5-mini,openai,evolution,161,ae54c944-86cf-466a-9387-2055fa580e0e,13765,4875,13765,4875,18640,0,832,0,,,
1766901689.7867115,gpt-5-mini,openai,evolution,162,d37d3952-968c-416e-95b9-640403f2f83e,38772,5318,38772,5318,44090,0,576,0,23424,,
1766901707.380642,gpt-5-mini,openai,evolution,163,2fe66411-28b8-4090-bc72-1b32f8633583,38289,5021,38289,5021,43310,0,512,0,,,
1766901820.188061,gpt-5-mini,openai,evolution,164,ae28bd91-a1d6-40b8-a7de-5ff6b9546fa3,40507,4981,40507,4981,45488,0,768,0,,,
1766901845.9186916,gpt-5-mini,openai,evolution,165,d58f1772-71d5-4697-9ff3-e678cc948d95,42742,5508,42742,5508,48250,0,704,0,,,
1766901944.4963887,gpt-5-mini,openai,evolution,166,6dfdc450-374a-470a-bd75-558d7248113e,39465,4314,39465,4314,43779,0,384,0,,,
1766902008.191591,gpt-5-mini,openai,evolution,167,1ba0a0c2-d200-4827-b036-956af561b207,40095,5342,40095,5342,45437,0,576,0,,,
1766902045.5509188,gpt-5-mini,openai,evolution,168,695a2b88-8b5f-4ff5-be56-ce0a0962dfbb,38203,4531,38203,4531,42734,0,384,0,,,
1766902055.0178585,gpt-5-mini,openai,evolution,169,d8f5e737-93d7-4275-adc6-b95c4f71ca1b,40725,4212,40725,4212,44937,0,512,0,,,
1766902071.8934968,gpt-5-mini,openai,evolution,170,ae28bd91-a1d6-40b8-a7de-5ff6b9546fa3,39343,5289,39343,5289,44632,0,448,0,,,
1766902128.4206996,gpt-5-mini,openai,evolution,171,ae54c944-86cf-466a-9387-2055fa580e0e,21979,4555,21979,4555,26534,0,768,0,,,
1766902201.049388,gpt-5-mini,openai,evolution,173,021214ea-b9ae-4ef3-940f-5bf9d58952c3,38819,6278,38819,6278,45097,0,960,0,15232,,
1766902225.4136333,gpt-5-mini,openai,evolution,174,c0f4c271-0244-47af-a57c-939e7ab5ab7a,40405,4566,40405,4566,44971,0,960,0,,,
1766902236.7763286,claude-sonnet-4-5,anthropic,evolution,172,34a3fbb2-e02b-42e9-b69f-314e0379685f,2,5995,,,5997,,,,,48523,0
1766902353.5823388,gpt-5-mini,openai,evolution,175,a381fcf2-108a-4b8c-97ea-bf5de6c6057b,42981,5330,42981,5330,48311,0,704,0,,,
1766902386.4592729,gpt-5-mini,openai,evolution,176,0b512bcc-a7d5-4f37-bf9b-3ad1a8e140f2,39822,4674,39822,4674,44496,0,448,0,,,
